0	Fringe is an American science fiction television series created by J. J. Abrams, Alex Kurtzman, and Roberto Orci. It premiered on the Fox television network on September 9, 2008, and concluded on January 18, 2013, after five seasons comprising 100 episodes. An FBI agent, Olivia Dunham (Anna Torv); a genius but dysfunctional scientist, Walter Bishop (John Noble); and his son with a troubled past, Peter Bishop (Joshua Jackson), are all members of a newly formed Fringe Division in the Federal Bureau of Investigation. Based in Boston, Massachusetts, and the team uses fringe science to investigate a series of unexplained and often ghastly occurrences which are related to a parallel universe.
1	The series has been described as a hybrid of fantasy, procedural dramas, and serials, influenced by films like Altered States and television shows such as Lost, The X-Files, and The Twilight Zone. The series began as a traditional mystery-of-the-week series and became more serialized in later seasons. Most episodes contain a standalone plot, with several others also exploring the series' overarching mythology.
2	"Critical reception was lukewarm at first but became more favorable after the first season, when the series began to explore its mythology, including parallel universes and alternate timelines. The show, along with cast and crew, was nominated for many major awards. Despite its move to the ""Friday night death slot"" and low ratings, the series developed a cult following. It also spawned two six-part comic book series, an alternate reality game, and three novels."
3	"Fringe follows the casework of the Fringe Division, a Joint Federal Task Force supported primarily by the Federal Bureau of Investigation, which includes Agent Olivia Dunham, Dr. Walter Bishop, the archetypal mad scientist, and Peter Bishop, Walter's estranged son and jack-of-all-trades. They are supported by Phillip Broyles (Lance Reddick), the force's director, and Agent Astrid Farnsworth (Jasika Nicole), who assists Walter in laboratory research. The Fringe Division investigates cases relating to fringe science, ranging from transhumanist experiments gone wrong to the prospect of a destructive technological singularity to a possible collision of two parallel universes. The Fringe Division's work often intersects with advanced biotechnology developed by a company called Massive Dynamic, founded by Walter's former partner, Dr. William Bell (Leonard Nimoy), and run by their common friend, Nina Sharp (Blair Brown). The team is also watched silently by a group of bald, pale white men who are called ""Observers""."
4	"Season 1 introduces the Fringe Division as they investigate cases that form ""the Pattern"" geographically centered around Reiden Lake in New York state, many of which are orchestrated by an international network of rogue scientists known as ZFT (Zerstörung durch Fortschritte der Technologie, or in English, Destruction through Advancement of Technology), led by David Robert Jones (Jared Harris), who are preparing for a doomsday event. The ZFT threat appears to end when Peter kills Jones as he attempts travel to a parallel universe. Olivia comes to learn she was a child test subject for Walter years ago (then known as Olive) for a nootropic drug, Cortexiphan, giving her weak psionic abilities. Walter also struggles with adjusting to normal life in Peter's care after living seventeen years in a mental institution while hiding the fact that Peter is from the parallel universe, ""his"" Peter having died as a child.In Season 2, the occurrences are found to be in conjunction with activities of a parallel universe, which is plagued by singularities occurring at weakened points of the fabric between worlds; over there, scientists have developed an amber-like substance that isolates these singularities as well as any innocent people caught in the area on its release. The Fringe team deals with more cases that are leading to a ""great storm"" as the parallel universe appears to be at war with the prime one, engineered by human-machine hybrid shapeshifters from the parallel universe. Walter is forced to tell Peter that he is from the parallel universe, a replacement for his own Peter, who died from a genetic disease. Walter had crossed over on the frozen ice of Reiden Lake in 1985 to administer the cure for the alternate version of Peter, but, after accidentally destroying a dose of the cure upon transport, he instead brought the boy across. On return, they fell through the ice but were saved by the Observer September (Michael Cerveris), who told Walter of the importance of ""the boy"", which Walter took to mean Peter. Walter's crossing is what caused the singularities in the parallel universe, with Reiden Lake at their center. Walter has been looking for a sign of forgiveness in the form of a white tulip.Season 3 presents episodes that alternate between the two universes. ""Walternate"", Walter's doppelgänger in the parallel universe, is the U.S. Secretary of Defense and has set events in motion to assemble the Machine, a doomsday device that reacts only to Peter's biology. He also sent his Olivia, ""Fauxlivia""2, to the prime universe, in Olivia's place, to engage the Fringe Division and assemble the prime universe's version of the device, while he studies Olivia's Cortexiphan-induced powers. By happenstance, Fauxlivia becomes pregnant with Peter's child, Henry, before being outed and extracted to the parallel universe. Walternate orchestrated acceleration of the pregnancy to gain a sample of the baby's blood, which he uses to activate the machine. Peter, with Olivia's help, enters the prime version of the machine, and experiences a vision of the future where the parallel universe has been destroyed and the same fate threatens the prime one, and learns the Machine is really a device created by Walter and his associates from this future, sent back in time purposely to relay this vision of the future to Peter. Recovering in the present, Peter alters his plan and uses the Machine to merge the two rooms, creating a bridge where inhabitants of both universes can solve their dilemma, before time is re-written so September (The Observer) does not save him and is forgotten by both Walter and Olivia.Season 4 begins in an alternate timeline, one in which September had failed to save the alternate version of Peter in 1985, according to the Observers. This creates a butterfly effect influencing the main characters' pasts but otherwise stabilizing both universes due to the creation of the bridge. Peter is pulled into this new timeline due to the actions of the alternate timeline's Fringe team, which includes Lincoln Lee (Seth Gabel). Peter initially works to return to his own timeline, fueled by fears that his memories are altering Cortexiphan-dosed Olivia's of this timeline, but after encountering a wounded September, Peter comes to learn that this timeline is truly his home, and both he and Olivia come to accept the change, rekindling their affair. September also reveals to Peter that the Observers needed to erase Peter's son, Henry, to assure their future will be created, though noting that Peter's future child with Olivia will be important. Meanwhile, in the present, William Bell has instructed David Robert Jones, alive in this timeline, to work with the parallel universe's version of Nina Sharp to synchronize the two universes, aiming to collapse them both and pave the way for a third universe under Bell's control, using Olivia's Cortexiphan powers to enable the collapse. The Fringe division is forced to close the dimensional bridge, but this fails to stop Bell's plan. Walter is left with one choice, to shoot and kill Olivia, her death disrupting the process and saving the world. Olivia's ""death"" is only temporary, as the Cortexiphan in her body is consumed to repair the bullet wound, leaving her alive and healthy but lacking her psionic abilities. As Olivia and Peter begin their lives together, September appears to Walter and warns that the Observers ""are coming"".The fifth and final season begins in 2036, following from the flash-forward fourth-season episode ""Letters of Transit"". As September warned, Observers, bald white males from the far future, having ruined Earth for themselves, time-traveled to 2015 and instituted ""The Purge"", wiped out much of humanity, subjected the survivors to their control, and began modifying the planet's environment to be more suitable for themselves. The Fringe team was able to seal themselves in amber to avoid capture shortly after the Purge, and are reunited through Henrietta (""Etta"") (Georgina Haig), Peter and Olivia's now adult daughter who disappeared shortly after the Observer arrival in 2015. Walter reveals he and September developed a plan to defeat the Observers, revealed through a series of pre-recorded videotapes ambered in the lab. The tapes lead to several components of a device, including a young Observer child, named Michael (Spencer List in Season 1 and Rowan Longworth in Season 5), but further allude to a man named Donald that had helped Walter prepare the plan. Etta is killed during these events, driving Olivia and Peter to complete the plan for her sake. Through Michael, they discover Donald is September, having been stripped of his Observer powers for helping the Fringe team, and that Michael is his genetic son, having been purposely grown as an anomaly in the far future. September explains the plan is to send Michael to the year 2167, where human genetic experiments to sacrifice emotion for intelligence would be started and leading to the creation of the Observers; by showing them Michael, who possesses both emotion and intelligence, the experiments would be stopped and the Observers never created. September is prepared to take Michael to the future as the plan is set in motion, but he is shot and killed at the last moment; Walter, already made aware that he will have to make a sacrifice, takes Michael through to the future to assure the plan's completion. As predicted, time is reset from the invasion onwards in 2015; the Observers never invade, and Peter, Olivia, and Etta, live their lives peacefully—though Peter receives one final letter from his father: a drawing of a white tulip."
5	"Much of the story arc for Fringe involves an alternate universe that mostly mirrors the prime universe, but with numerous historical idiosyncrasies.  A significant example element used is the effect of the September 11 attacks; though this event also occurred in the alternate universe, the World Trade Center was untouched by the attacks, leaving the buildings as predominant landmarks in the alternate world's skyline of ""Manhatan"". The South Tower was used as the office of William Bell in several episodes.The producers were strongly interested in ""world-building,"" and the alternate universe allowed them to create a very similar world with a large amount of detail to fill in the texture of the world. An alternate universe also allowed them to show ""how small choices that you make define you as a person and can change your life in large ways down the line,"" according to co-director Jeff Pinkner. However, the producers also realized the concept of the alternate universe could be confusing to viewers. To avoid this, elements of the world were introduced in small pieces over the course of the first two seasons before the larger revelation in the second-season finale and the third season. J. H. Wyman stated that he would often pass the story ideas for the alternate universe by his father to see if it made sense, and would rework the script if his father found it confusing. Such world building also gave them a risky opportunity to create stories that focused solely on characters from the alternate universe with nearly no ties to the main characters; as stated by Wyman, they would be able to ""make two shows about one show,"" a concept that the network executives embraced."
6	"Prior to commercial breaks, a brief image of a glyph is shown. Abrams revealed in an interview that the glyphs had a hidden meaning. ""It's something that we're doing for people who care to figure it out and follow it, but it's not something that a viewer has to consider when they watch the show."" Abrams also revealed that the seemingly unrelated frogs which have the Greek letter Phi (Φ) imprinted on their backs appeared in promos for the show and have significance within the context of the series, saying ""it's part of the code of the show."" The glyph code was cracked by an editor at the technology site Ars Technica, who discovered it to be a simple substitution cipher used to spell out a single thematic word for each episode; for example, the pilot episode's eight glyphs spell out the word ""observer"". Additionally, the glyphs are representative of some of the means by which Walter solves a case (such as the moth/butterfly from ""Johari Window"", the seahorse strain of DNA from ""The Bishop Revival""). In ""Jacksonville"", behind Walter as he speaks to Olivia about her treatment where the nootropic Cortexiphan was first studied as a trial, each of the glyphs is clearly visible on the daycare wall. An episode-by-episode key to the various glyphs was made available on Fringepedia."
7	"The show's standard opening sequence interplays images of the glyph symbols alongside words representing fringe science topics, such as ""teleportation"" and ""dark matter."" Within the third season, with episodes that took place primarily in the parallel universe, a new set of titles was used, following a similar format, though tinted red instead of blue and using alternate fringe science concepts like ""hypnosis"" and ""neuroscience"". The difference in color has led some fans to call the prime universe the Blue one in contrast to the parallel Red one. In the third-season episode ""Entrada"", the titles used a mix of both the blue- and red-tinted versions, given that the episode took place equally in each universe. In the two flashback episodes, ""Peter"" and ""Subject 13,"" a variation on the sequence, with retro graphics akin to 1980s technology and phrases like ""personal computing"" and ""genetic engineering"" was used. For the dystopian future third-season episode ""The Day We Died,"" a black-toned theme with more dire phrases like ""hope"" and ""water"" was used. The fourth-season premiere, ""Neither Here Nor There"", introduced an amber-toned title sequence, with additional new terms, that is used for nearly all fourth-season episodes. The fourth-season episode ""Letters of Transit,"" which returned to the future dystopian universe, and the subsequent fifth-season episodes, feature a cold-toned title sequence with phrases such as ""joy,"" ""private thought,"" ""free will,"" and ""freedom,"" ideas which have been lost in this future. There is one frame in the opening sequence in which the words ""Observers are here"" flash very quickly, and the opening sequence must be paused to see them."
8	"Anna Torv as Olivia Dunham: a Northwestern University-educated Federal Bureau of Investigation (FBI) agent assigned to investigate the spread of unexplained phenomena. She later discovers Walter performed tests on her when she was a child using nootropic drug Cortexiphan, giving her unusual abilities. Torv also plays Olivia's counterpart in the alternate universe, dubbed by the characters of the prime universe as ""Fauxlivia"", as well as William Bell."
9	"Joshua Jackson as Peter Bishop: a jack-of-all-trades who is brought in as a civilian consultant by Olivia to work with his estranged father, Walter. Peter is actually ""Walternate's"" son from the alternate universe, abducted by Walter shortly after his own Peter's death at a young age."
